Date,Stock,Open,High,Low,Close
2019-10-01,FB,179.15,179.84,174.88,175.81
2019-10-02,FB,174.84,176.53,173.09,174.6
2019-10-03,FB,175.57,179.84,173.63,179.38
2019-10-04,FB,175.20499999999998,178.185,173.36,176.99
2019-10-05,FB,175.20499999999998,178.185,173.36,176.99
2019-10-06,FB,179.13,180.775,177.90500000000003,178.71500000000003
2019-10-07,FB,180.0,181.18,178.09,179.68
2019-10-08,FB,178.26,180.37,177.72,177.75
2019-10-09,FB,179.16,180.72,177.94,179.85
2019-10-10,FB,180.32,181.61,179.17,180.03
2019-10-11,FB,182.15,186.49,182.14,184.19
2019-10-12,FB,181.235,184.05,180.65499999999997,182.11
2019-10-13,FB,184.0,187.5,183.115,183.28
2019-10-14,FB,184.2,184.62,182.57,183.28
2019-10-15,FB,183.8,190.38,183.66,183.28
2019-10-16,FB,188.32,189.7,186.9,189.55
2019-10-17,FB,190.3,190.84,188.77,190.39
2019-10-18,FB,190.23,191.49,183.92,185.85
2019-10-19,FB,190.265,191.16500000000002,186.345,188.12
2019-10-20,FB,188.51999999999998,190.28,184.12500000000003,186.05
2019-10-21,FB,187.04,189.91,186.75,189.76
2019-10-22,FB,190.0,190.65,181.5,182.34
2019-10-23,FB,182.01,186.38,182.0,186.15
2019-10-24,FB,184.62,186.73,182.8,184.245
2019-10-25,FB,185.83,189.0,185.09,187.89
2019-10-26,FB,185.22500000000002,187.865,183.945,187.89
2019-10-27,FB,189.445,191.03,186.77500000000003,189.35500000000002
2019-10-28,FB,187.2,189.53,185.08,189.4
2019-10-29,FB,191.69,192.53,188.47,189.31
2019-10-30,FB,189.56,190.45,185.98,188.25
2019-10-31,FB,196.7,198.09,188.25,191.65
2019-11-01,FB,192.85,194.11,189.91,193.62
2019-11-02,FB,194.77499999999998,196.10000000000002,189.07999999999998,192.635
2019-11-03,FB,194.96,196.56,193.70500000000004,194.52000000000004
2019-11-04,FB,194.55,197.37,193.81,194.72
2019-11-05,FB,195.37,195.75,193.6,194.32
2019-11-06,FB,194.03,194.37,191.35,191.55
2019-11-07,FB,191.91,193.44,189.47,190.42
2019-11-08,FB,190.0,192.34,189.7,190.84
2019-11-09,FB,190.95499999999998,192.89,189.58499999999998,190.63
2019-11-10,FB,189.965,192.57,189.14000000000004,192.04000000000002
2019-11-11,FB,189.93,190.08,188.54,189.61
2019-11-12,FB,190.0,195.06,189.74,194.47
2019-11-13,FB,194.7,195.7,192.74,192.04000000000002
2019-11-14,FB,192.93,194.03,191.45,193.15
2019-11-15,FB,194.26,195.3,193.38,195.1
2019-11-16,FB,193.595,194.66500000000002,192.415,194.125
2019-11-17,FB,195.98000000000002,199.315,194.95500000000004,194.125
2019-11-18,FB,194.56,198.63,193.05,198.41500000000002
2019-11-19,FB,197.4,200.0,196.86,199.32
2019-11-20,FB,198.58,199.59,195.43,197.51
2019-11-21,FB,197.42,199.09,196.86,197.93
2019-11-22,FB,198.38,199.3,197.62,198.82
2019-11-23,FB,197.89999999999998,199.195,197.24,198.375
2019-11-24,FB,199.76,200.56,198.64500000000004,199.38000000000002
2019-11-25,FB,199.52,200.97,199.25,199.79
2019-11-26,FB,200.0,200.15,198.04,198.97
2019-11-27,FB,199.9,203.14,199.42,202.0
2019-11-28,FB,199.95,201.64499999999998,198.73,200.485
2019-11-29,FB,201.6,203.8,201.21,201.64
2019-11-30,FB,201.6,203.8,201.21,201.64
2019-12-01,FB,199.865,200.555,196.56500000000005,199.26000000000002
2019-12-02,FB,202.13,202.18,198.05,199.7
2019-12-03,FB,197.6,198.93,195.08,198.82
2019-12-04,FB,200.0,200.03,198.05,198.71
2019-12-05,FB,199.86,201.29,198.21,198.765
2019-12-06,FB,200.5,201.57,200.06,201.05
2019-12-07,FB,200.18,201.43,199.135,201.05
2019-12-08,FB,201.155,202.595,200.18000000000004,201.10500000000002
2019-12-09,FB,200.65,203.14,200.21,201.34
2019-12-10,FB,201.66,202.05,200.15,200.87
2019-12-11,FB,200.28,202.63,200.28,202.26
2019-12-12,FB,202.35,203.66,194.1,196.75
2019-12-13,FB,196.4,196.8,193.17,194.11
2019-12-14,FB,199.375,200.23000000000002,193.635,195.43
2019-12-15,FB,197.055,199.06,195.47000000000003,198.15500000000003
2019-12-16,FB,195.27,199.12,194.81,197.92
2019-12-17,FB,198.84,199.0,196.13,198.39
2019-12-18,FB,200.09,204.3,200.09,202.5
2019-12-19,FB,202.78,206.3,202.51,206.06
2019-12-20,FB,207.48,207.71,203.43,206.3
2019-12-21,FB,205.13,207.005,202.97,206.18
2019-12-22,FB,206.5,207.69,205.34000000000003,205.65000000000003
2019-12-23,FB,206.7,208.59,205.68,206.18
2019-12-24,FB,206.3,206.79,205.0,205.12
2019-12-25,FB,206.5,207.69,205.34,205.65
2019-12-26,FB,205.57,207.82,205.31,207.79
2019-12-27,FB,208.67,208.93,206.59,208.1
2019-12-28,FB,207.12,208.375,205.95,207.945
2019-12-29,FB,205.93,206.73000000000002,203.75000000000003,204.83000000000004
2019-12-30,FB,207.86,207.9,203.9,204.41
2019-12-31,FB,204.0,205.56,203.6,205.25
2020-01-01,FB,205.93,206.73000000000002,203.75,204.82999999999998
2020-01-02,FB,207.21,210.4,206.95,208.67
2020-01-03,FB,207.21,210.4,206.95,208.67
2020-01-04,FB,207.21,210.4,206.95,208.67
2020-01-05,FB,209.76,213.68,209.13500000000005,212.83000000000004
2020-01-06,FB,206.7,212.78,206.52,212.6
2020-01-07,FB,212.82,214.58,211.75,213.06
2020-01-08,FB,213.0,216.24,212.61,215.22
2020-01-09,FB,217.54,218.38,216.28,218.3
2020-01-10,FB,219.2,219.88,217.42,218.06
2020-01-11,FB,218.37,219.13,216.85,218.18
2020-01-12,FB,220.60500000000002,222.175,218.92000000000002,220.485
2020-01-13,FB,219.6,221.97,219.21,221.91
2020-01-14,FB,221.61,222.38,218.63,219.06
2020-01-15,FB,220.61,221.68,220.14,221.15
2020-01-16,FB,222.57,222.63,220.39,221.77
2020-01-17,FB,222.03,222.29,220.53,222.14
2020-01-18,FB,222.3,222.45999999999998,220.45999999999998,221.95499999999998
2020-01-19,FB,222.3,222.45999999999998,220.45999999999998,221.95499999999998
2020-01-20,FB,222.235,222.56,220.20000000000005,221.38000000000002
2020-01-21,FB,222.16,222.37,219.12,221.44
2020-01-22,FB,222.31,222.75,221.28,221.32
2020-01-23,FB,220.75,221.49,219.27,219.76
2020-01-24,FB,220.8,221.78,216.11,217.94
2020-01-25,FB,220.775,221.635,217.69,218.85
2020-01-26,FB,214.62,217.4,213.01000000000005,216.33000000000004
2020-01-27,FB,213.1,216.06,212.5,214.87
2020-01-28,FB,216.14,218.74,213.52,217.79
2020-01-29,FB,221.44,224.2,218.45,223.23
2020-01-30,FB,206.53,211.43,204.75,209.53
2020-01-31,FB,208.43,208.69,201.06,201.91
2020-02-01,FB,207.48000000000002,210.06,202.905,205.72
2020-02-02,FB,205.03,207.87,203.85000000000002,207.01000000000005
2020-02-03,FB,203.44,205.14,202.5,204.19
2020-02-04,FB,206.62,210.6,205.2,209.83
2020-02-05,FB,212.51,212.73,208.71,210.11
2020-02-06,FB,210.47,211.19,209.34,210.85
2020-02-07,FB,210.3,212.82,209.93,212.33
2020-02-08,FB,210.385,212.005,209.635,211.59
2020-02-09,FB,210.85500000000002,212.33,208.58500000000004,210.12500000000003
2020-02-10,FB,211.52,213.8,210.66,213.06
2020-02-11,FB,210.19,210.86,206.51,207.19
2020-02-12,FB,207.85,211.22,207.4,210.76
2020-02-13,FB,209.52,214.33,209.18,213.14
2020-02-14,FB,214.0,214.93,212.65,214.18
2020-02-15,FB,211.76,214.63,210.91500000000002,213.66
2020-02-16,FB,211.76,214.63,210.91500000000002,213.66
2020-02-17,FB,217.99,218.32,216.11,217.49
2020-02-18,FB,217.99,218.32,216.11,217.49
2020-02-19,FB,217.99,218.32,216.11,217.49
2020-02-20,FB,217.99,218.32,216.11,217.49
2020-02-21,FB,213.48,214.24,208.83,210.18
2020-02-22,FB,213.48,214.24,208.83,210.18
2020-02-23,FB,202.025,203.575,197.06,198.74500000000003
2020-02-24,FB,201.8,203.65,198.17,200.72
2020-02-25,FB,202.25,203.5,195.95,196.77
2020-02-26,FB,197.19,201.21,195.49,197.2
2020-02-27,FB,191.82,195.88,189.5,189.75
2020-02-28,FB,182.7,192.74,181.82,192.47
2020-02-29,FB,187.26,194.31,185.66,191.11
2020-03-01,FB,195.125,196.905,186.41000000000003,191.16500000000002
2020-03-02,FB,194.03,196.57,188.85,196.44
2020-03-03,FB,196.22,197.24,183.97,185.89
2020-03-04,FB,189.17,191.83,186.39,191.76
2020-03-05,FB,186.78,188.99,183.89,185.17
2020-03-06,FB,178.33,183.78,176.26,181.09
2020-03-07,FB,182.555,186.385,180.075,183.13
2020-03-08,FB,169.6,175.0,165.19,169.5
2020-03-09,FB,169.6,175.0,165.19,169.5
2020-03-10,FB,169.6,175.0,165.19,169.5
2020-03-11,FB,174.01,175.88,167.66,170.24
2020-03-12,FB,159.54,166.6,154.34,154.47
2020-03-13,FB,163.53,170.79,157.6,170.28
2020-03-14,FB,161.535,168.695,155.97,162.375
2020-03-15,FB,151.53,156.535,141.55,147.71500000000003
2020-03-16,FB,152.32,159.13,143.1,146.01
2020-03-17,FB,150.74,153.94,140.0,149.42
2020-03-18,FB,139.75,148.18,137.1,146.96
2020-03-19,FB,146.62,159.93,144.8,153.13
2020-03-20,FB,143.185,154.055,140.95,150.04500000000002
2020-03-21,FB,143.185,154.055,140.95,150.04500000000002
2020-03-22,FB,152.435,156.81,147.41000000000003,154.54000000000002
2020-03-23,FB,149.66,152.31,142.25,148.1
2020-03-24,FB,155.21,161.31,152.57,160.98
2020-03-25,FB,158.92,162.99,153.06,156.21
2020-03-26,FB,158.25,164.0,157.02,163.34
2020-03-27,FB,158.2,160.09,154.75,156.79
2020-03-28,FB,158.225,162.04500000000002,155.885,160.065
2020-03-29,FB,162.32999999999998,168.84,161.13000000000002,166.37500000000003
2020-03-30,FB,159.18,166.75,158.06,165.95
2020-03-31,FB,165.48,170.93,164.2,166.8
2020-04-01,FB,162.32999999999998,168.84,161.13,166.375
2020-04-02,FB,159.1,161.35,155.92,158.19
2020-04-03,FB,157.15,157.91,150.83,154.18
2020-04-04,FB,158.125,159.63,153.375,156.185
2020-04-05,FB,165.97,169.795,162.26000000000002,167.19000000000005
2020-04-06,FB,160.15,166.2,158.51,165.55
2020-04-07,FB,171.79,173.39,166.01,168.83
2020-04-08,FB,171.25,175.0,167.74,174.28
2020-04-09,FB,175.9,177.08,171.57,175.19
2020-04-10,FB,173.575,176.04000000000002,169.655,174.735
2020-04-11,FB,173.575,176.04000000000002,169.655,174.735
2020-04-12,FB,176.325,178.115,173.03500000000003,176.48000000000002
2020-04-13,FB,173.67,175.0,169.45,174.79
2020-04-14,FB,178.98,181.23,176.62,178.17
2020-04-15,FB,176.325,178.115,173.035,176.48
2020-04-16,FB,177.95,178.05,172.51,176.25
2020-04-17,FB,179.2,180.28,176.66,179.24
2020-04-18,FB,178.575,179.16500000000002,174.58499999999998,177.745
2020-04-19,FB,176.32999999999998,177.94,172.55500000000004,174.52000000000004
2020-04-20,FB,177.41,180.5,176.77,178.24
2020-04-21,FB,175.25,175.38,168.34,170.8
2020-04-22,FB,178.45,184.78,178.14,182.28
2020-04-23,FB,184.08,187.05,183.15,185.13
2020-04-24,FB,181.265,185.91500000000002,180.64499999999998,183.70499999999998
2020-04-25,FB,181.265,185.91500000000002,180.64499999999998,183.70499999999998
2020-04-26,FB,190.66,191.475,184.985,185.20500000000004
2020-04-27,FB,192.66,193.75,187.41,187.5
2020-04-28,FB,188.66,189.2,182.56,182.91
2020-04-29,FB,190.93,196.91,190.0,194.19
2020-04-30,FB,206.92,209.69,201.57,204.71
2020-05-01,FB,201.6,207.28,199.05,202.27
2020-05-02,FB,204.26,208.485,200.31,203.49
2020-05-03,FB,203.61,208.14499999999998,202.63000000000002,206.16500000000002
2020-05-04,FB,200.2,205.91,198.76,205.26
2020-05-05,FB,207.02,210.38,206.5,207.07
2020-05-06,FB,208.12,211.6,206.66,208.47
2020-05-07,FB,211.16,211.6,209.04,211.26
2020-05-08,FB,212.24,213.21,210.85,212.35
2020-05-09,FB,211.7,212.405,209.945,211.805
2020-05-10,FB,212.08999999999997,215.14,210.18500000000003,213.18
2020-05-11,FB,210.89,215.0,210.37,213.18
2020-05-12,FB,213.29,215.28,210.0,213.18
2020-05-13,FB,209.43,210.78,202.11,205.1
2020-05-14,FB,202.56,206.93,200.69,206.81
2020-05-15,FB,205.27,211.34,204.12,210.88
2020-05-16,FB,203.91500000000002,209.135,202.405,208.845
2020-05-17,FB,212.71,217.565,211.88500000000005,215.03500000000003
2020-05-18,FB,212.15,214.64,210.94,213.19
2020-05-19,FB,213.27,220.49,212.83,216.88
2020-05-20,FB,223.5,231.34,223.19,229.97
2020-05-21,FB,234.72,237.2,231.2,231.39
2020-05-22,FB,231.51,235.99,228.74,234.91
2020-05-23,FB,233.115,236.595,229.97,233.14999999999998
2020-05-24,FB,233.115,236.595,229.97,233.14999999999998
2020-05-25,FB,234.42000000000002,235.73000000000002,226.40000000000003,230.67000000000002
2020-05-26,FB,239.77,240.9,231.67,232.2
2020-05-27,FB,229.07,230.56,221.13,229.14
2020-05-28,FB,224.3,231.63,224.0,225.46
2020-05-29,FB,225.2,227.49,222.88,225.09
2020-05-30,FB,224.75,229.56,223.44,225.275
2020-05-31,FB,227.765,232.72,225.03000000000003,232.31500000000003
2020-06-01,FB,224.59,232.44,223.5,231.91
2020-06-02,FB,230.94,233.0,226.56,232.72
2020-06-03,FB,227.765,232.72,225.03,232.315
2020-06-04,FB,229.56,231.63,224.61,226.29
2020-06-05,FB,226.71,231.35,225.31,230.77
2020-06-06,FB,228.135,231.49,224.96,228.53
2020-06-07,FB,230.275,235.66000000000003,228.91000000000003,235.03500000000003
2020-06-08,FB,229.03,231.55,227.41,231.4
2020-06-09,FB,231.52,239.77,230.41,238.67
2020-06-10,FB,240.96,241.21,235.28,236.73
2020-06-11,FB,229.94,232.89,223.55,224.43
2020-06-12,FB,229.9,231.66,224.5,228.58
2020-06-13,FB,229.92000000000002,232.27499999999998,224.025,226.505
2020-06-14,FB,231.115,236.115,228.90000000000003,234.07500000000005
2020-06-15,FB,225.09,233.77,224.8,232.5
2020-06-16,FB,237.14,238.46,233.0,235.65
2020-06-17,FB,235.0,237.59,231.73,235.53
2020-06-18,FB,234.99,236.14,232.15,235.94
2020-06-19,FB,237.79,240.83,235.55,238.79
2020-06-20,FB,236.39,238.485,233.85000000000002,237.365
2020-06-21,FB,239.92000000000002,242.945,238.38500000000005,240.73000000000002
