Date,Stock,Open,High,Low,Close
2019-10-01,INTC,51.97,52.24,50.43,50.76
2019-10-02,INTC,50.31,50.37,48.98,49.39
2019-10-03,INTC,49.5,50.07,48.53,50.03
2019-10-04,INTC,50.35,50.97,50.03,50.92
2019-10-05,INTC,49.925,50.519999999999996,49.28,50.475
2019-10-06,INTC,50.43000000000001,50.85499999999999,50.084999999999994,50.175
2019-10-07,INTC,50.7,51.23,50.56,50.62
2019-10-08,INTC,50.16,50.48,49.61,49.73
2019-10-09,INTC,50.47,50.79,50.15,50.48
2019-10-10,INTC,50.41,51.78,50.4,51.11
2019-10-11,INTC,52.0,52.79,51.82,52.09
2019-10-12,INTC,51.205,52.285,51.11,51.6
2019-10-13,INTC,51.915000000000006,52.50999999999999,51.63499999999999,52.144999999999996
2019-10-14,INTC,51.9,51.95,51.44,51.64
2019-10-15,INTC,51.93,53.07,51.83,52.65
2019-10-16,INTC,52.35,52.56,52.12,52.144999999999996
2019-10-17,INTC,52.64,52.84,51.38,51.86
2019-10-18,INTC,52.495000000000005,52.7,51.75,51.86
2019-10-19,INTC,52.495000000000005,52.7,51.75,51.86
2019-10-20,INTC,51.71000000000001,52.24499999999999,51.614999999999995,52.07
2019-10-21,INTC,51.52,52.17,51.34,52.13
2019-10-22,INTC,51.9,52.32,51.89,52.01
2019-10-23,INTC,51.37,51.96,51.2,51.72
2019-10-24,INTC,52.09,52.43,51.43,52.23
2019-10-25,INTC,54.19,56.61,53.92,51.974999999999994
2019-10-26,INTC,53.14,54.519999999999996,52.675,51.974999999999994
2019-10-27,INTC,56.37500000000001,57.02499999999999,56.14999999999999,56.55
2019-10-28,INTC,56.38,56.81,56.06,56.76
2019-10-29,INTC,56.37,57.24,56.24,56.34
2019-10-30,INTC,56.32,56.63,55.62,56.6
2019-10-31,INTC,56.33,56.6,55.62,56.53
2019-11-01,INTC,55.94,56.65,55.62,56.51
2019-11-02,INTC,56.135,56.625,55.62,56.519999999999996
2019-11-03,INTC,57.2,58.07499999999999,57.029999999999994,57.58
2019-11-04,INTC,56.93,57.8,56.85,57.61
2019-11-05,INTC,57.47,58.35,57.21,57.55
2019-11-06,INTC,57.49,57.71,56.98,57.58
2019-11-07,INTC,58.0,58.55,57.86,58.05
2019-11-08,INTC,57.85,58.3,57.31,58.27
2019-11-09,INTC,57.925,58.425,57.585,58.16
2019-11-10,INTC,58.185,58.64999999999999,57.96499999999999,58.275000000000006
2019-11-11,INTC,57.97,58.5,57.9,58.35
2019-11-12,INTC,58.4,58.8,58.03,58.2
2019-11-13,INTC,57.87,57.97,57.35,57.89
2019-11-14,INTC,57.61,58.04,57.57,57.81
2019-11-15,INTC,57.739999999999995,58.004999999999995,57.46,57.85
2019-11-16,INTC,57.739999999999995,58.004999999999995,57.46,57.85
2019-11-17,INTC,58.09,58.56499999999999,57.66,58.3
2019-11-18,INTC,57.7,58.48,57.57,58.25
2019-11-19,INTC,58.48,58.65,57.75,58.35
2019-11-20,INTC,58.26,58.36,57.37,57.9
2019-11-21,INTC,57.49,58.3,57.41,58.22
2019-11-22,INTC,58.34,58.65,57.49,57.61
2019-11-23,INTC,57.915000000000006,58.474999999999994,57.45,57.915
2019-11-24,INTC,58.47500000000001,58.985,58.224999999999994,58.855000000000004
2019-11-25,INTC,58.0,58.84,58.0,58.81
2019-11-26,INTC,58.95,59.13,58.45,58.9
2019-11-27,INTC,58.53,58.59,57.91,58.51
2019-11-28,INTC,58.74,58.86,58.18,58.705
2019-11-29,INTC,58.15,58.3,57.79,58.705
2019-11-30,INTC,58.15,58.3,57.79,57.66
2019-12-01,INTC,57.705000000000005,57.77499999999999,56.60999999999999,57.66
2019-12-02,INTC,58.55,58.69,57.47,57.66
2019-12-03,INTC,56.86,56.86,55.75,57.66
2019-12-04,INTC,56.66,56.66,55.86,56.02
2019-12-05,INTC,56.41,56.41,55.76,56.08
2019-12-06,INTC,56.66,56.99,56.42,56.81
2019-12-07,INTC,56.535,56.7,56.09,56.445
2019-12-08,INTC,56.62500000000001,56.894999999999996,56.46999999999999,56.53
2019-12-09,INTC,56.54,56.96,56.5,56.53
2019-12-10,INTC,56.71,56.83,56.44,56.53
2019-12-11,INTC,56.91,57.17,56.58,57.07
2019-12-12,INTC,56.75,58.05,56.61,57.55
2019-12-13,INTC,57.55,58.34,57.38,57.79
2019-12-14,INTC,57.15,58.195,56.995000000000005,57.67
2019-12-15,INTC,58.105000000000004,58.334999999999994,57.38999999999999,57.7
2019-12-16,INTC,58.21,58.57,57.65,57.7
2019-12-17,INTC,58.0,58.1,57.13,57.7
2019-12-18,INTC,57.39,57.46,56.94,57.17
2019-12-19,INTC,57.17,57.99,56.97,57.96
2019-12-20,INTC,58.32,59.05,57.89,58.95
2019-12-21,INTC,57.745000000000005,58.519999999999996,57.43,58.455
2019-12-22,INTC,59.15500000000001,59.629999999999995,59.099999999999994,59.31999999999999
2019-12-23,INTC,59.06,59.78,59.04,59.23
2019-12-24,INTC,59.25,59.48,59.16,59.41
2019-12-25,INTC,59.155,59.629999999999995,59.099999999999994,59.31999999999999
2019-12-26,INTC,59.91,60.48,59.9,60.08
2019-12-27,INTC,59.91,60.48,59.9,60.08
2019-12-28,INTC,59.91,60.48,59.9,60.08
2019-12-29,INTC,59.80500000000001,59.989999999999995,59.36999999999999,59.735
2019-12-30,INTC,59.99,60.05,59.38,59.62
2019-12-31,INTC,59.62,59.93,59.36,59.85
2020-01-01,INTC,59.805,59.989999999999995,59.370000000000005,59.735
2020-01-02,INTC,60.24,60.97,60.22,60.84
2020-01-03,INTC,59.81,60.7,59.81,60.1
2020-01-04,INTC,60.025000000000006,60.835,60.015,60.47
2020-01-05,INTC,59.68500000000001,59.99999999999999,59.10999999999999,59.43
2020-01-06,INTC,59.59,60.2,59.33,59.93
2020-01-07,INTC,59.78,59.8,58.89,58.93
2020-01-08,INTC,58.89,59.32,58.52,58.97
2020-01-09,INTC,59.05,59.51,58.83,59.3
2020-01-10,INTC,59.57,60.08,58.87,58.94
2020-01-11,INTC,59.31,59.795,58.849999999999994,59.12
2020-01-12,INTC,59.33000000000001,59.75999999999999,59.13499999999999,59.510000000000005
2020-01-13,INTC,59.17,59.78,59.08,59.59
2020-01-14,INTC,59.49,59.74,59.19,59.43
2020-01-15,INTC,59.3,59.65,58.75,58.94
2020-01-16,INTC,59.26,59.84,59.07,59.66
2020-01-17,INTC,59.98,60.0,59.24,59.6
2020-01-18,INTC,59.62,59.92,59.155,59.629999999999995
2020-01-19,INTC,59.62,59.92,59.155,59.629999999999995
2020-01-20,INTC,60.42500000000001,62.05,60.379999999999995,61.64
2020-01-21,INTC,59.81,61.25,59.79,60.55
2020-01-22,INTC,61.04,62.85,60.97,62.73
2020-01-23,INTC,62.86,63.71,62.81,63.32
2020-01-24,INTC,66.57,69.29,66.46,68.47
