Date,Stock,Open,High,Low,Close
2019-10-01,MSFT,139.66,140.25,137.0,137.07
2019-10-02,MSFT,136.25,136.37,133.58,134.65
2019-10-03,MSFT,134.95,136.75,133.22,136.28
2019-10-04,MSFT,136.75,138.25,136.42,135.465
2019-10-05,MSFT,135.85,137.5,134.82,135.465
2019-10-06,MSFT,137.11,137.97,136.32,136.39499999999998
2019-10-07,MSFT,137.14,138.18,137.02,137.12
2019-10-08,MSFT,137.08,137.76,135.62,135.67
2019-10-09,MSFT,137.46,138.7,136.97,138.24
2019-10-10,MSFT,138.49,139.67,138.25,139.1
2019-10-11,MSFT,140.12,141.03,139.5,139.68
2019-10-12,MSFT,139.305,140.35,138.875,139.39
2019-10-13,MSFT,139.875,141.04,139.66500000000002,140.56
2019-10-14,MSFT,139.69,140.29,139.52,139.55
2019-10-15,MSFT,140.06,141.79,139.81,141.57
2019-10-16,MSFT,140.79,140.99,139.53,140.56
2019-10-17,MSFT,140.95,141.42,139.02,139.69
2019-10-18,MSFT,139.76,140.0,136.56,137.41
2019-10-19,MSFT,140.355,140.70999999999998,137.79000000000002,138.55
2019-10-20,MSFT,138.70999999999998,139.255,136.635,137.4
2019-10-21,MSFT,138.45,138.5,137.01,138.43
2019-10-22,MSFT,138.97,140.01,136.26,136.37
2019-10-23,MSFT,136.88,137.45,135.61,137.24
2019-10-24,MSFT,139.39,140.42,138.67,139.94
2019-10-25,MSFT,139.34,141.14,139.2,140.73
2019-10-26,MSFT,139.365,140.77999999999997,138.935,140.33499999999998
2019-10-27,MSFT,144.24,145.08499999999998,143.07999999999998,143.51
2019-10-28,MSFT,144.4,145.67,143.51,144.19
2019-10-29,MSFT,144.08,144.5,142.65,142.83
2019-10-30,MSFT,143.52,145.0,142.79,144.61
2019-10-31,MSFT,144.9,144.93,142.99,143.37
2019-11-01,MSFT,144.26,144.42,142.97,143.72
2019-11-02,MSFT,144.57999999999998,144.675,142.98000000000002,143.54500000000002
2019-11-03,MSFT,144.9,145.01,144.035,144.505
2019-11-04,MSFT,144.83,145.0,144.16,144.55
2019-11-05,MSFT,144.97,145.02,143.91,144.46
2019-11-06,MSFT,144.37,144.52,143.2,144.06
2019-11-07,MSFT,143.84,144.88,143.77,144.26
2019-11-08,MSFT,143.98,145.99,143.76,145.96
2019-11-09,MSFT,143.91,145.435,143.765,145.11
2019-11-10,MSFT,145.81,146.995,145.39499999999998,146.11
2019-11-11,MSFT,145.34,146.42,144.73,146.11
2019-11-12,MSFT,146.28,147.57,146.06,146.11
2019-11-13,MSFT,146.74,147.46,146.28,147.31
2019-11-14,MSFT,147.02,148.41,147.0,148.06
2019-11-15,MSFT,148.93,149.99,148.27,149.97
2019-11-16,MSFT,147.97500000000002,149.2,147.635,149.015
2019-11-17,MSFT,150.475,150.94,149.58999999999997,150.365
2019-11-18,MSFT,150.07,150.55,148.98,150.34
2019-11-19,MSFT,150.88,151.33,150.2,150.39
2019-11-20,MSFT,150.31,150.84,148.46,149.62
2019-11-21,MSFT,149.4,149.8,148.5,149.48
2019-11-22,MSFT,150.07,150.3,148.82,149.59
2019-11-23,MSFT,149.735,150.05,148.66,149.535
2019-11-24,MSFT,150.68,151.885,150.62,151.23
2019-11-25,MSFT,150.0,151.35,149.92,151.23
2019-11-26,MSFT,151.36,152.42,151.32,151.23
2019-11-27,MSFT,152.33,152.5,151.52,152.32
2019-11-28,MSFT,151.84500000000003,152.45999999999998,151.42000000000002,152.32
2019-11-29,MSFT,152.1,152.3,151.28,151.38
2019-11-30,MSFT,152.1,152.3,151.28,151.38
2019-12-01,MSFT,149.65,150.63,147.485,149.43
2019-12-02,MSFT,151.81,151.83,148.32,149.55
2019-12-03,MSFT,147.49,149.43,146.65,149.31
2019-12-04,MSFT,150.14,150.18,149.2,149.85
2019-12-05,MSFT,150.05,150.32,149.48,149.93
2019-12-06,MSFT,150.99,151.87,150.27,151.75
2019-12-07,MSFT,150.52,151.095,149.875,150.84
2019-12-08,MSFT,151.18,152.05,150.83499999999998,151.245
2019-12-09,MSFT,151.07,152.21,150.91,151.36
2019-12-10,MSFT,151.29,151.89,150.76,151.13
2019-12-11,MSFT,151.18,152.05,150.83499999999998,151.245
2019-12-12,MSFT,151.65,153.44,151.02,153.24
2019-12-13,MSFT,153.0,154.89,152.83,154.53
2019-12-14,MSFT,152.325,154.165,151.925,153.885
2019-12-15,MSFT,155.28,155.805,154.635,155.11
2019-12-16,MSFT,155.11,155.9,154.82,155.53
2019-12-17,MSFT,155.45,155.71,154.45,154.69
2019-12-18,MSFT,154.3,155.48,154.18,154.37
2019-12-19,MSFT,154.0,155.77,153.75,155.71
2019-12-20,MSFT,157.35,158.49,156.29,157.41
2019-12-21,MSFT,155.675,157.13,155.01999999999998,156.56
2019-12-22,MSFT,157.8,157.91500000000002,157.195,157.39499999999998
2019-12-23,MSFT,158.12,158.12,157.27,157.41
2019-12-24,MSFT,157.48,157.71,157.12,157.38
2019-12-25,MSFT,157.8,157.91500000000002,157.195,157.39499999999998
2019-12-26,MSFT,157.56,158.73,157.4,158.67
2019-12-27,MSFT,159.45,159.55,158.22,158.96
2019-12-28,MSFT,158.505,159.14,157.81,158.815
2019-12-29,MSFT,157.88,158.395,156.58999999999997,157.64499999999998
2019-12-30,MSFT,158.99,159.02,156.73,157.59
2019-12-31,MSFT,156.77,157.77,156.45,157.7
2020-01-01,MSFT,157.88,158.395,156.58999999999997,157.64499999999998
2020-01-02,MSFT,158.78,160.73,158.33,160.62
2020-01-03,MSFT,158.32,159.95,158.06,158.62
2020-01-04,MSFT,158.55,160.33999999999997,158.195,159.62
2020-01-05,MSFT,158.2,159.385,156.915,158.305
2020-01-06,MSFT,157.08,159.1,156.51,159.03
2020-01-07,MSFT,159.32,159.67,157.32,157.58
2020-01-08,MSFT,158.93,160.8,157.95,160.09
2020-01-09,MSFT,161.84,162.22,161.03,162.09
2020-01-10,MSFT,162.82,163.22,161.18,161.34
2020-01-11,MSFT,162.32999999999998,162.72,161.10500000000002,161.715
2020-01-12,MSFT,162.575,163.45499999999998,161.49,162.70499999999998
2020-01-13,MSFT,161.76,163.31,161.26,163.28
2020-01-14,MSFT,163.39,163.6,161.72,162.13
2020-01-15,MSFT,162.62,163.94,162.57,163.18
2020-01-16,MSFT,164.35,166.24,164.03,166.17
2020-01-17,MSFT,167.42,167.47,165.43,167.1
2020-01-18,MSFT,165.885,166.85500000000002,164.73000000000002,166.635
2020-01-19,MSFT,165.885,166.85500000000002,164.73000000000002,166.635
2020-01-20,MSFT,167.04000000000002,167.84,166.055,166.1
2020-01-21,MSFT,166.68,168.19,166.43,166.5
2020-01-22,MSFT,167.4,167.49,165.68,165.7
2020-01-23,MSFT,166.19,166.8,165.27,166.72
2020-01-24,MSFT,167.51,167.53,164.45,165.04
2020-01-25,MSFT,166.85,167.16500000000002,164.86,165.88
2020-01-26,MSFT,162.465,164.57,161.635,163.87
2020-01-27,MSFT,161.15,163.38,160.2,162.28
2020-01-28,MSFT,163.78,165.76,163.07,165.46
2020-01-29,MSFT,167.84,168.75,165.69,168.04
2020-01-30,MSFT,174.05,174.05,170.79,172.78
2020-01-31,MSFT,170.945,171.4,168.24,170.41
2020-02-01,MSFT,170.945,171.4,168.24,170.41
2020-02-02,MSFT,173.785,177.57,173.35500000000002,177.25
2020-02-03,MSFT,170.43,174.5,170.4,174.38
2020-02-04,MSFT,177.14,180.64,176.31,180.12
2020-02-05,MSFT,184.03,184.2,178.41,179.9
2020-02-06,MSFT,180.97,183.82,180.06,183.63
2020-02-07,MSFT,182.85,185.63,182.48,183.89
2020-02-08,MSFT,181.91,184.725,181.26999999999998,183.76
2020-02-09,MSFT,187.115,189.76999999999998,183.375,186.57
2020-02-10,MSFT,183.58,188.84,183.25,188.7
2020-02-11,MSFT,190.65,190.7,183.5,184.44
2020-02-12,MSFT,185.58,185.85,181.85,184.71
2020-02-13,MSFT,183.08,186.23,182.87,183.71
2020-02-14,MSFT,183.25,185.41,182.65,185.35
2020-02-15,MSFT,183.16500000000002,185.82,182.76,184.53
2020-02-16,MSFT,183.16500000000002,185.82,182.76,184.53
2020-02-17,MSFT,186.835,187.94,185.985,187.255
2020-02-18,MSFT,185.61,187.7,185.5,187.23
2020-02-19,MSFT,188.06,188.18,186.47,187.28
2020-02-20,MSFT,186.95,187.25,181.1,184.42
2020-02-21,MSFT,183.17,183.5,177.25,178.59
2020-02-22,MSFT,185.06,185.375,179.175,181.505
2020-02-23,MSFT,170.985,174.695,165.44,169.48
2020-02-24,MSFT,167.77,174.55,163.23,170.89
2020-02-25,MSFT,174.2,174.84,167.65,168.07
2020-02-26,MSFT,169.71,173.26,168.21,170.17
2020-02-27,MSFT,163.32,167.03,157.98,158.18
2020-02-28,MSFT,152.41,163.71,152.0,162.01
2020-02-29,MSFT,157.865,165.37,154.99,160.095
2020-03-01,MSFT,169.555,173.95999999999998,162.285,168.64999999999998
2020-03-02,MSFT,165.31,172.92,162.31,172.79
2020-03-03,MSFT,173.8,175.0,162.26,164.51
2020-03-04,MSFT,168.49,170.7,165.62,170.55
2020-03-05,MSFT,166.05,170.87,165.69,166.27
2020-03-06,MSFT,162.61,163.11,156.0,161.57
2020-03-07,MSFT,164.33,166.99,160.845,163.92000000000002
2020-03-08,MSFT,154.57999999999998,159.39,151.29000000000002,155.76999999999998
2020-03-09,MSFT,151.0,157.75,150.0,150.62
2020-03-10,MSFT,158.16,161.03,152.58,160.92
2020-03-11,MSFT,157.13,157.7,151.15,153.63
2020-03-12,MSFT,145.3,153.47,138.58,139.06
2020-03-13,MSFT,147.5,161.91,140.73,158.83
2020-03-14,MSFT,146.4,157.69,139.655,148.945
2020-03-15,MSFT,140.0,148.425,135.0,140.995
2020-03-16,MSFT,140.0,149.35,135.0,135.42
2020-03-17,MSFT,140.0,147.5,135.0,146.57
2020-03-18,MSFT,138.0,146.0,135.02,140.4
2020-03-19,MSFT,142.77,150.15,139.0,142.71
2020-03-20,MSFT,146.0,147.1,135.86,137.35
2020-03-21,MSFT,144.385,148.625,137.43,140.03
2020-03-22,MSFT,140.38,145.08499999999998,136.895,142.16
2020-03-23,MSFT,137.01,140.57,132.52,135.98
2020-03-24,MSFT,143.75,149.6,141.27,148.34
2020-03-25,MSFT,148.91,154.33,144.44,146.92
2020-03-26,MSFT,148.4,156.66,148.37,156.11
2020-03-27,MSFT,151.75,154.89,149.2,149.7
2020-03-28,MSFT,150.075,155.77499999999998,148.785,152.905
2020-03-29,MSFT,155.92000000000002,162.69,153.285,158.97
2020-03-30,MSFT,152.44,160.6,150.01,160.23
2020-03-31,MSFT,159.4,164.78,156.56,157.71
2020-04-01,MSFT,153.0,157.75,150.82,152.11
